,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
17237,MYS,Malaysia,TNB Prai,WRI1000284,1071.0,5.3744,100.3746,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,WRI,1031192,,,,,,,,,,,,,,5351.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17238,MYS,Malaysia,Tanjung Bin power station,WRI1000254,3244.0,1.334,103.5422,Coal,,,,2010.0,Malakoff Bhd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GEODB,,,,,,,,,,,,,,,23137.57,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17239,MYS,Malaysia,Tawau Power Station (SESB),WRI1000274,64.0,4.2826,117.888,Oil,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1027722,,,,,,,,,,,,,,30.29,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17240,MYS,Malaysia,Teknologi Tenaga Perlis Consortium,WRI1000228,650.0,6.3404,100.1568,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1025387,,,,,,,,,,,,,,3248.05,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17241,MYS,Malaysia,Temenggor,WRI1000237,348.0,5.407,101.301,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1031210,,,,,,,,,,899.51,902.25,909.06,1042.15,862.07,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
17242,MYS,Malaysia,Tenom Pangi,WRI1000273,66.0,5.1333,115.95,Hydro,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,CARMA,1061303,,,,,,,,,,218.24,199.1,195.41,211.88,209.08,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
17243,MYS,Malaysia,Tg. Bin Energy,WRI1000285,2100.0,1.3348,103.5422,Coal,,,,2016.0,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,WRI,,,,,,,,,,,,,,,14978.08,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17244,MYS,Malaysia,Tuanku Jaafar (PDI),WRI1000250,714.0,2.533,101.7912,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1031214,,,,,,,,,,,,,,3567.86,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17245,MYS,Malaysia,Tyanku Jaafar (PDII),WRI1000251,708.0,2.5327,101.791,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,WRI,,,,,,,,,,,,,,,3537.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17246,MYS,Malaysia,YTL Paka,WRI1000257,780.0,4.6017,103.4495,Gas,,,,,,Penisular Malaysia Electricity Supply Company,http://www.st.gov.my/index.php/component/k2/item/606-peninsular-malaysia-electricity-supply-industry-outlook-2014.html,GEODB,1033688,,,,,,,,,,,,,,3897.67,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
